order_id,line_id,product_id,qty,unit_price,discount_pct,qty_returned,return_reason,rating,promo_code
O1001,1,P001,2,12.99,0.10,0,,5,WELCOME10
O1001,2,P014,3,3.49,0.00,0,,4,
O1001,3,P006,1,11.99,0.00,0,,5,
O1002,1,P002,1,24.99,0.15,0,,4,WINTER15
O1002,2,P007,1,19.99,0.00,0,,5,
O1002,3,P013,2,10.49,0.05,0,,4,WINTER15
O1003,1,P010,1,21.99,0.10,1,defective,,MARKET10
O1003,2,P011,2,9.99,0.00,0,,4,
O1004,1,P005,1,14.99,0.00,0,,5,
O1004,2,P009,1,16.99,0.10,0,,4,HOME10
O1004,3,P004,2,8.99,0.00,0,,4,
O1005,1,P008,1,49.99,0.20,0,,5,WINTER15
O1005,2,P010,2,21.99,0.10,0,,4,WINTER15
O1005,3,P001,1,12.99,0.00,0,,4,
O1006,1,P003,4,5.49,0.00,1,changed_mind,3,
O1006,2,P015,2,8.99,0.05,0,,5,MARKET5
O1007,1,P012,1,39.99,0.15,0,,5,HOME10
O1007,2,P009,2,16.99,0.10,0,,4,HOME10
O1007,3,P004,1,8.99,0.00,0,,5,
O1008,1,P007,2,19.99,0.10,0,,4,PRAIRIE10
O1008,2,P011,3,9.99,0.00,0,,5,
O1008,3,P013,1,10.49,0.00,0,,4,
O1009,1,P002,1,24.99,0.00,0,,4,
O1009,2,P001,2,12.99,0.10,0,,5,WELCOME10
O1009,3,P006,2,11.99,0.05,0,,4,WELCOME10
O1010,1,P008,1,49.99,0.10,0,,4,MARKET10
O1010,2,P010,1,21.99,0.00,0,,5,
O1011,1,P005,2,14.99,0.10,0,,4,HOME10
O1011,2,P009,1,16.99,0.00,0,,5,
O1011,3,P014,5,3.49,0.00,0,,4,
O1012,1,P012,1,39.99,0.00,0,,5,
O1012,2,P004,3,8.99,0.05,0,,4,STATION5
O1013,1,P003,2,5.49,0.00,0,,4,
O1013,2,P006,1,11.99,0.00,0,,5,
O1013,3,P015,1,8.99,0.00,0,,4,
O1014,1,P002,2,24.99,0.15,0,,5,WINTER15
O1014,2,P007,1,19.99,0.00,0,,4,
O1015,1,P010,1,21.99,0.10,0,,3,MARKET10
O1015,2,P008,1,49.99,0.20,1,defective,,MARKET10
O1015,3,P013,2,10.49,0.05,0,,5,MARKET5
